Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Multi-hop Queries,What weaknesses (CWEs) are associated with real-world examples observed in 'CVE-2024-0001'?,"MATCH (c:UcoCVE {label: 'CVE-2024-0001'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN w.ucocweID, w.ucocweName",What CWEs have observed examples linked to CVE-2024-0001?,"[""UcoCVE"", ""UcoCWE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOHASOBSERVEDEXAMPLE""]","[""label"", ""ucocweID"", ""ucocweName""]",2,"[""CVE-2024-0001""]"
Multi-hop Queries,List all products (CPEs) affected by vulnerabilities published after '2024-01-01'.,"MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) WHERE v.ucopublishedDateTime > '2024-01-01T00:00:00' RETURN p.cpeName, c.label",List all CPEs affected by vulnerabilities published since 2024-01-01.,"[""UcoCVE"", ""UcoVulnerability"", ""UcoexCPE""]","[""UCOEXHASCPE"", ""UCOHASCVE_ID""]","[""cpeName"", ""label"", ""ucopublishedDateTime""]",2,"[""2024-01-01T00:00:00""]"
Multi-hop Queries,"For CWE-79 (Cross-site Scripting), find all related CAPEC attack patterns and their corresponding MITRE ATT&CK techniques.","MATCH (w:UcoCWE {ucocweID: 'CWE-79'})<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK) RETURN ca.ucoexCAPEC_name, t.ucoexNAME",Map CWE-79 to its related CAPEC patterns and their corresponding ATT&CK TTPs.,"[""UcoCWE"", ""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXHASRELATEDWEAKNESS"", ""UCOEXHASTAXONOMYMAPPING""]","[""ucocweID"", ""ucoexCAPEC_name"", ""ucoexNAME""]",2,"[""CWE-79""]"
Multi-hop Queries,Find all 'CRITICAL' severity CVEs associated with 'WebServer' exploit targets.,MATCH (et:UcoExploitTarget {uri: 'WebServer'})-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN c.label,List critical CVEs associated with the 'WebServer' exploit target.,"[""UcoCVE"", ""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASCVE_ID"", ""UCOHASVULNERABILITY""]","[""label"", ""ucobaseSeverity"", ""uri""]",2,"[""CRITICAL"", ""WebServer""]"
Conditional and Boolean Queries,Find 'CRITICAL' CVEs that allow full privilege escalation AND do NOT require user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL', ucoobtainAllPrivilege: 'true', ucouserInteractionRequired: 'false'}) RETURN c.label","Identify critical, full-privilege-escalation CVEs that require no user interaction.","[""UcoCVE""]",[],"[""label"", ""ucobaseSeverity""]",0,"[""CRITICAL"", ""false"", ""true""]"
Conditional and Boolean Queries,Find all 'Base' abstraction CWEs whose description contains 'buffer' AND have a 'Stable' status.,"MATCH (w:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Stable'}) WHERE w.ucodescription CONTAINS 'buffer' RETURN w.ucocweID, w.ucocweName","Find all 'Base' level, 'Stable' CWEs with descriptions containing the term 'buffer'.","[""UcoCWE""]",[],"[""ucoabstraction"", ""ucocweID"", ""ucocweName"", ""ucodescription""]",0,"[""Base"", ""Stable"", ""buffer""]"
Conditional and Boolean Queries,What software is used by 'Lazarus Group' AND was also used in the 'WannaCry' campaign?,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'}) RETURN s.ucoexNAME,What software is common to both 'Lazarus Group' and the 'WannaCry' campaign?,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXCAMPAIGNUSESSOFTWARE"", ""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",2,"[""Lazarus Group"", ""WannaCry""]"
Conditional and Boolean Queries,List vulnerabilities published in 2023.,"MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime >= '2023-01-01T00:00:00' AND v.ucopublishedDateTime < '2024-01-01T00:00:00' RETURN v.uri, v.ucopublishedDateTime",Retrieve all vulnerabilities published during the 2023 calendar year.,"[""UcoVulnerability""]",[],"[""ucopublishedDateTime"", ""uri""]",0,"[""2023-01-01T00:00:00"", ""2024-01-01T00:00:00""]"
Conditional and Boolean Queries,Find weaknesses (CWEs) that mention 'SQL injection' in either their summary or description.,"MATCH (w:UcoCWE) WHERE w.ucocweSummary CONTAINS 'SQL injection' OR w.ucodescription CONTAINS 'SQL injection' RETURN w.ucocweID, w.ucocweName",Query all CWEs where the summary or description text contains 'SQL injection'.,"[""UcoCWE""]",[],"[""ucocweID"", ""ucocweName"", ""ucocweSummary"", ""ucodescription""]",0,"[""SQL injection""]"
Path Queries (Variable-length),Show the relationship path (up to 3 hops) between 'Phishing' and 'Data Exfiltration' techniques.,MATCH p = (t1:UcoexMITREATTACK {ucoexNAME: 'Phishing'})-[*..3]-(t2:UcoexMITREATTACK {ucoexNAME: 'Data Exfiltration'}) RETURN p,"Show relationship paths, up to 3 hops, between 'Phishing' and 'Data Exfiltration' TTPs.","[""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",1,"[""Data Exfiltration"", ""Phishing""]"
Path Queries (Variable-length),What is the shortest path (up to 4 hops) connecting 'APT28' to 'CVE-2021-44228'?,MATCH p = allShortestPaths((g:UcoexGROUPS {ucoexNAME: 'APT28'})-[*..4]-(c:UcoCVE {label: 'CVE-2021-44228'})) RETURN p,"What are the shortest paths, max 4 hops, connecting 'APT28' to 'CVE-2021-44228'?","[""UcoCVE"", ""UcoexGROUPS""]",[],"[""label"", ""ucoexNAME""]",1,"[""APT28"", ""CVE-2021-44228""]"
Path Queries (Variable-length),Find all paths (up to 5 hops) from the 'Lazarus Group' to any 'CRITICAL' severity CVE.,MATCH p = (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*..5]-(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN p LIMIT 10,"Find 10 paths, up to 5 hops, from 'Lazarus Group' to any 'CRITICAL' severity CVE.","[""UcoCVE"", ""UcoexGROUPS""]",[],"[""ucobaseSeverity"", ""ucoexNAME""]",1,"[""CRITICAL"", ""Lazarus Group""]"
Path Queries (Variable-length),Show the shortest path (up to 4 hops) from 'microsoft:windows_10' (CPE) to the 'Sandworm Team' group.,MATCH p = allShortestPaths((c:UcoexCPE {cpeName: 'microsoft:windows_10'})-[*..4]-(g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})) RETURN p,Find the shortest attack path (max 4 hops) from 'microsoft:windows_10' to 'Sandworm Team'.,"[""UcoexCPE"", ""UcoexGROUPS""]",[],"[""cpeName"", ""ucoexNAME""]",1,"[""Sandworm Team"", ""microsoft:windows_10""]"
Path Queries (Variable-length),Show all nodes within 2 hops of the mitigation 'Access Token Manipulation'.,MATCH p = (m:UcoexMITIGATIONS {ucoexNAME: 'Access Token Manipulation'})-[*1..2]-(n) RETURN p,Show the 2-hop neighborhood for the 'Access Token Manipulation' mitigation.,"[""UcoexMITIGATIONS""]",[],"[""ucoexNAME""]",1,"[""Access Token Manipulation""]"
Path Queries (Variable-length),Find the relationship (max 5 hops) between D3FEND's 'File Access Pattern Analysis' and 'CVE-2017-0199'.,MATCH p = (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'File Access Pattern Analysis'})-[*..5]-(c:UcoCVE {label: 'CVE-2017-0199'}) RETURN p,Map the relationship (max 5 hops) between D3FEND 'File Access Pattern Analysis' and CVE-2017-0199.,"[""UcoCVE"", ""UcoexMITRED3FEND""]",[],"[""label"", ""ucoexMITRED3FEND_LABEL""]",1,"[""CVE-2017-0199"", ""File Access Pattern Analysis""]"
Path Queries (Variable-length),Show me the entire sub-graph of nodes 1-hop away from the 'SolarWinds' campaign.,MATCH p = (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds'})-[*1]-(n) RETURN p,Show the immediate 1-hop neighborhood for the 'SolarWinds' campaign.,"[""UcoexCAMPAIGNS""]",[],"[""ucoexNAME""]",1,"[""SolarWinds""]"
Path Queries (Variable-length),What software tools (up to 4 hops) are related to 'CWE-78: OS Command Injection'?,MATCH p = (w:UcoCWE {ucocweID: 'CWE-78'})-[*..4]-(s:UcoexSOFTWARE) RETURN p,What software is related (max 4 hops) to CWE-78 (OS Command Injection)?,"[""UcoCWE"", ""UcoexSOFTWARE""]",[],"[""ucocweID""]",1,"[""CWE-78""]"
Path Queries (Variable-length),Show the path (up to 3 hops) connecting 'Mimikatz' and 'PowerShell'.,MATCH p = (s1:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[*..3]-(s2:UcoexSOFTWARE {ucoexNAME: 'PowerShell'}) RETURN p,Show the relationship path (max 3 hops) between 'Mimikatz' and 'PowerShell'.,"[""UcoexSOFTWARE""]",[],"[""ucoexNAME""]",1,"[""Mimikatz"", ""PowerShell""]"
Graph Pattern Matching,Show weaknesses (CWEs) that have observed examples in CVEs that affect 'microsoft:windows_10'.,"MATCH (p:UcoexCPE {cpeName: 'microsoft:windows_10'})<-[:UCOEXHASCPE]-(c:UcoCVE)<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN DISTINCT w.ucocweID, w.ucocweName",Identify distinct CWEs with observed examples in CVEs affecting 'microsoft:windows_10'.,"[""UcoCVE"", ""UcoCWE"", ""UcoexCPE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOEXHASCPE"", ""UCOHASOBSERVEDEXAMPLE""]","[""cpeName"", ""ucocweID"", ""ucocweName""]",3,"[""microsoft:windows_10""]"
Graph Pattern Matching,Find 'CRITICAL' CVEs and their related weaknesses (CWEs) that affect 'apache:log4j'.,"MATCH (p:UcoexCPE {cpeName: 'apache:log4j'})<-[:UCOEXHASCPE]-(c:UcoCVE {ucobaseSeverity: 'CRITICAL'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN c.label, w.ucocweID, w.ucocweName",Find critical CVEs and their root-cause CWEs affecting 'apache:log4j'.,"[""UcoCVE"", ""UcoCWE"", ""UcoexCPE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN"", ""UCOEXHASCPE"", ""UCOHASOBSERVEDEXAMPLE""]","[""cpeName"", ""label"", ""ucobaseSeverity"", ""ucocweID"", ""ucocweName""]",3,"[""CRITICAL"", ""apache:log4j""]"
Comparative and Ranking,Rank threat groups by the number of 'Enterprise' domain techniques they use.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN g.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC",Rank threat groups by their total count of 'Enterprise' TTPs.,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Comparative and Ranking,List the top 10 most exploitable 'CRITICAL' CVEs that allow full privilege escalation.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL', ucoobtainAllPrivilege: 'true'}) RETURN c.label, toFloat(c.ucoexploitabilityScore) AS exploitScore ORDER BY exploitScore DESC LIMIT 10",List the top 10 most exploitable 'CRITICAL' CVEs that grant full privileges.,"[""UcoCVE""]",[],"[""label"", ""ucobaseSeverity"", ""ucoexploitabilityScore""]",0,"[""CRITICAL"", ""true""]"
Comparative and Ranking,List the top 10 most vulnerable products (CPEs) based on the number of 'CRITICAL' CVEs.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS criticalCveCount ORDER BY criticalCveCount DESC LIMIT 10",What are the top 10 products (CPEs) with the most 'CRITICAL' vulnerabilities?,"[""UcoCVE"", ""UcoexCPE""]","[""UCOEXHASCPE""]","[""cpeName"", ""ucobaseSeverity""]",1,"[""CRITICAL""]"
Comparative and Ranking,Rank 'Mobile' domain ATT&CK techniques by the number of available mitigations.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Mobile'}) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount DESC",Rank 'Mobile' ATT&CK techniques by their number of available mitigations.,"[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Mobile""]"
Comparative and Ranking,List the top 5 least mitigated 'Enterprise' techniques used by 'APT29'.,"MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) OPTIONAL MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount ASC LIMIT 5",Identify the top 5 least-mitigated 'Enterprise' TTPs used by APT29.,"[""UcoexGROUPS"", ""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXMITIGATES""]","[""ucoexDOMAIN"", ""ucoexNAME""]",2,"[""APT29"", ""Enterprise""]"
Existence and Set Operations Queries,List all software (UcoexSOFTWARE) that is not associated with any ATT&CK technique.,MATCH (s:UcoexSOFTWARE) WHERE NOT (s)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK) RETURN s.ucoexNAME,List all software tools that are not mapped to any ATT&CK technique.,"[""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexNAME""]",1,[]
Existence and Set Operations Queries,Which exploit targets have no associated vulnerabilities or weaknesses?,MATCH (et:UcoExploitTarget) WHERE NOT (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) AND NOT (et)-[:UCOHASWEAKNESS]->(:UcoCWE) RETURN et.uri,Identify exploit targets that have no linked vulnerabilities or weaknesses.,"[""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""uri""]",2,[]
Existence and Set Operations Queries,Find all 'Enterprise' ATT&CK techniques that are not used by any known group.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) WHERE NOT (t)<-[:UCOEXGROUPUSESTECHNIQUE]-(:UcoexGROUPS) RETURN t.ucoexNAME,List all 'Enterprise' TTPs that are not associated with any known threat group.,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Multi-hop Queries,Which threat groups use techniques that are countered by the D3FEND technique 'D3-SDA' (System Call Analysis)?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXHASMITREATTACK]-(d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'D3-SDA'}) RETURN g.ucoexNAME,Which threat groups use techniques that 'D3-SDA' (System Call Analysis) can counter?,"[""UcoexGROUPS"", ""UcoexMITREATTACK"", ""UcoexMITRED3FEND""]","[""UCOEXGROUPUSESTECHNIQUE"", ""UCOEXHASMITREATTACK""]","[""ucoexMITRED3FEND_LABEL"", ""ucoexNAME""]",2,"[""D3-SDA""]"
Multi-hop Queries,"What techniques are used in the 'SolarWinds Orion' campaign, and which group is attributed?","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME","What techniques were used in the 'SolarWinds Orion' campaign, and which group ran it?","[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion""]"
Conditional and Boolean Queries,Which threat groups use both 'Phishing' AND 'PowerShell'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t1:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) MATCH (g)-[:UCOEXGROUPUSESTECHNIQUE]->(t2:UcoexMITREATTACK {ucoexNAME: 'PowerShell'}) RETURN g.ucoexNAME,Which groups use *both* 'Phishing' AND 'PowerShell'?,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""Phishing"", ""PowerShell""]"
Conditional and Boolean Queries,Find vulnerabilities published after '2023-01-01' AND before '2023-06-30'.,"MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime > '2023-01-01T00:00:00' AND v.ucopublishedDateTime < '2023-06-30T23:59:59' RETURN v.uri, v.ucopublishedDateTime",Find vulnerabilities published in the first half of 2023.,"[""UcoVulnerability""]",[],"[""ucopublishedDateTime"", ""uri""]",0,"[""2023-01-01T00:00:00"", ""2023-06-30T23:59:59""]"
Conditional and Boolean Queries,List all D3FEND techniques that have 'Digital Artifact' in their definition.,MATCH (d:UcoexMITRED3FEND) WHERE d.ucoexMITRED3FEND_DEFINITION CONTAINS 'Digital Artifact' RETURN d.ucoexMITRED3FEND_LABEL,List all D3FEND defenses that mention 'Digital Artifact' in their definition.,"[""UcoexMITRED3FEND""]",[],"[""ucoexMITRED3FEND_DEFINITION"", ""ucoexMITRED3FEND_LABEL""]",0,"[""Digital Artifact""]"
Conditional and Boolean Queries,Find campaigns attributed to a group AND using technique 'T1566'.,"MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'T1566'}) RETURN c.ucoexNAME, g.ucoexNAME",Find campaigns that are attributed to a group AND use technique 'T1566'.,"[""UcoexCAMPAIGNS"", ""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXCAMPAIGNUSESTECHNIQUE""]","[""ucoexNAME""]",2,"[""T1566""]"
Conditional and Boolean Queries,Find exploit targets with a known vulnerability BUT no known weakness.,MATCH (et:UcoExploitTarget) WHERE (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) AND NOT (et)-[:UCOHASWEAKNESS]->(:UcoCWE) RETURN et.uri,Find exploit targets that have a vulnerability BUT no known weakness (CWE).,"[""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""uri""]",2,[]
Path Queries (Variable-length),Find any connection (up to 3 hops) between the group 'APT29' and 'CVE-2021-44228'.,MATCH path = (g:UcoexGROUPS {ucoexNAME: 'APT29'})-[*1..3]-(c:UcoCVE {label: 'CVE-2021-44228'}) RETURN path LIMIT 10,Is there a connection (up to 3 hops) between 'APT29' and 'CVE-2021-44228'?,"[""UcoCVE"", ""UcoexGROUPS""]",[],"[""label"", ""ucoexNAME""]",1,"[""APT29"", ""CVE-2021-44228""]"
Path Queries (Variable-length),How can 'CWE-79' (XSS) lead to an 'Enterprise' attack technique (max 4 hops)?,MATCH path = (w:UcoCWE {ucocweID: 'CWE-79'})-[*1..4]-(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN path LIMIT 20,How can 'CWE-79' (XSS) lead to an 'Enterprise' technique? (Show paths up to 4 hops),"[""UcoCWE"", ""UcoexMITREATTACK""]",[],"[""ucocweID"", ""ucoexDOMAIN""]",1,"[""CWE-79"", ""Enterprise""]"
Path Queries (Variable-length),What is the shortest path between 'CAPEC-153' (Input Data Manipulation) and any mitigation?,MATCH path = shortestPath((ca:UcoexCAPEC {ucoexCAPEC_id: 'CAPEC-153'})-[*1..5]-(m:UcoexMITIGATIONS)) RETURN path,What's the shortest path (max 5 hops) from 'CAPEC-153' (Input Data Manipulation) to any mitigation?,"[""UcoexCAPEC"", ""UcoexMITIGATIONS""]",[],"[""ucoexCAPEC_id""]",1,"[""CAPEC-153""]"
Path Queries (Variable-length),Find all paths (1-2 hops) from a 'CRITICAL' CVE to a Threat Group.,MATCH path = (c:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[*1..2]-(g:UcoexGROUPS) RETURN path LIMIT 25,Show me paths (1-2 hops) from a 'CRITICAL' CVE to a Threat Group.,"[""UcoCVE"", ""UcoexGROUPS""]",[],"[""ucobaseSeverity""]",1,"[""CRITICAL""]"
Path Queries (Variable-length),How is 'SolarWinds Orion' campaign connected to 'T1588' (Obtain Capabilities)? (max 3 hops),MATCH path = (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[*1..3]-(t:UcoexMITREATTACK {ucoexNAME: 'T1588'}) RETURN path,How is the 'SolarWinds Orion' campaign connected to 'T1588'? (Max 3 hops),"[""UcoexCAMPAIGNS"", ""UcoexMITREATTACK""]",[],"[""ucoexNAME""]",1,"[""SolarWinds Orion"", ""T1588""]"
Comparative and Ranking,Rank threat groups by the number of 'Enterprise' techniques they use.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN g.ucoexNAME, count(t) AS enterpriseTechniques ORDER BY enterpriseTechniques DESC",Rank threat groups by how many 'Enterprise' techniques they use.,"[""UcoexGROUPS"", ""UcoexMITREATTACK""]","[""UCOEXGROUPUSESTECHNIQUE""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Existence and Set Operations Queries,List all exploit targets that have a vulnerability but NO associated weakness (CWE).,MATCH (et:UcoExploitTarget) WHERE EXISTS { (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) } AND NOT EXISTS { (et)-[:UCOHASWEAKNESS]->(:UcoCWE) } RETURN et.uri,List exploit targets that have a vulnerability but NO associated weakness (CWE).,"[""UcoCWE"", ""UcoExploitTarget"", ""UcoVulnerability""]","[""UCOHASVULNERABILITY"", ""UCOHASWEAKNESS""]","[""uri""]",2,[]
Existence and Set Operations Queries,(Union) List all groups OR software associated with the 'SolarWinds Orion' campaign.,MATCH (n) WHERE EXISTS { (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXATTRIBUTEDTO]->(n) } OR EXISTS { (:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(n) } RETURN n.ucoexNAME,List all groups and software associated with the 'SolarWinds Orion' campaign.,"[""UcoexCAMPAIGNS""]","[""UCOEXATTRIBUTEDTO"", ""UCOEXCAMPAIGNUSESSOFTWARE""]","[""ucoexNAME""]",2,"[""SolarWinds Orion""]"
Existence and Set Operations Queries,(Intersection) Find CVEs that are 'CRITICAL' AND have an observed example.,MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) WHERE EXISTS { (c)<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample) } RETURN c.label,Find 'CRITICAL' CVEs that *also* have a real-world observed example.,"[""UcoCVE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN""]","[""label"", ""ucobaseSeverity""]",1,"[""CRITICAL""]"
Existence and Set Operations Queries,(Union) List all CVEs from 2023 OR with 'HIGH' impact score.,MATCH (c:UcoCVE) MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c) WHERE v.ucopublishedDateTime STARTS WITH '2023' OR c.ucoimpactScore = 'HIGH' RETURN DISTINCT c.label,List all CVEs from 2023 OR with a 'HIGH' impact score.,"[""UcoCVE"", ""UcoVulnerability""]","[""UCOHASCVE_ID""]","[""label"", ""ucoimpactScore"", ""ucopublishedDateTime""]",1,"[""2023"", ""HIGH""]"
Existence and Set Operations Queries,(Intersection) Find software used by 'FIN7' AND 'Lazarus Group' AND 'APT28'.,MATCH (g1:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) MATCH (g3:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s) RETURN s.ucoexNAME,What software is used by 'FIN7' AND 'Lazarus Group' AND 'APT28'?,"[""UcoexGROUPS"", ""UcoexSOFTWARE""]","[""UCOEXGROUPUSESSOFTWARE""]","[""ucoexNAME""]",3,"[""APT28"", ""FIN7"", ""Lazarus Group""]"
Existence and Set Operations Queries,(Difference) List all 'Enterprise' techniques NOT mitigated by any 'UcoexMITIGATIONS'.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) WHERE NOT EXISTS { (t)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS) } RETURN t.ucoexNAME,List 'Enterprise' techniques that are *not* mitigated by anything. ,"[""UcoexMITIGATIONS"", ""UcoexMITREATTACK""]","[""UCOEXMITIGATES""]","[""ucoexDOMAIN"", ""ucoexNAME""]",1,"[""Enterprise""]"
Conditional and Boolean Queries,List all tactics that are in the 'Enterprise' domain AND have a description.,"MATCH (t:UcoexTACTICS) WHERE t.ucoexDOMAIN = 'Enterprise' AND t.ucoexDESCRIPTION IS NOT NULL RETURN t.ucoexNAME, t.ucoexDESCRIPTION","Find UcoexTACTICS nodes where the ucoexDOMAIN is 'Enterprise' AND the ucoexDESCRIPTION property exists, then return the tactic's name and description.","[""UcoexTACTICS""]",[],"[""ucoexDESCRIPTION"", ""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Enterprise""]"
Conditional and Boolean Queries,Show tactics that are in the 'Mobile' OR 'Cloud' domain.,"MATCH (t:UcoexTACTICS) WHERE t.ucoexDOMAIN = 'Mobile' OR t.ucoexDOMAIN = 'Cloud' RETURN t.ucoexNAME, t.ucoexDOMAIN","Find UcoexTACTICS nodes where the ucoexDOMAIN is either 'Mobile' OR 'Cloud', then return the tactic's name and domain.","[""UcoexTACTICS""]",[],"[""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Cloud"", ""Mobile""]"
