id,category,question,gold,full_pred,semantic_pred
42,Graph Pattern Matching,Show me 10 examples of campaigns that share TTPs. List both campaigns and the shared TTP.,"MATCH (c1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c2:UcoexCAMPAIGNS) WHERE id(c1) < id(c2) RETURN c1.ucoexNAME, t.ucoexNAME, c2.ucoexNAME LIMIT 10","MATCH (c1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c2:UcoexCAMPAIGNS) RETURN c1, t, c2 LIMIT 10","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(d:UcoexCAMPAIGNS)
RETURN DISTINCT c.ucoexNAME AS campaign1, d.ucoexNAME AS campaign2, t.ucoexNAME AS sharedTTP"
43,Graph Pattern Matching,Which threat actors use TTPs that are linked (via CAPEC/CWE) to 'CRITICAL' severity CVEs?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME,"MATCH (cve:UcoCVE)-[:UCOHASWEAKNESS]->(cwe:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(capec:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(technique:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(group:UcoexGROUPS)
RETURN DISTINCT group LIMIT 10",MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN DISTINCT g.ucoexNAME
44,Graph Pattern Matching,Show me CVEs that affect known products (have a CPE) AND are linked to a weakness (CWE) that has been seen in the wild.,"MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(:UcoexCPE), (cve)<-[:UCOHASCVE_ID]-(:UcoVulnerability)<-[:UCOHASVULNERABILITY]-(:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(:UcoexObservedExample) RETURN DISTINCT cve.label","MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE), (cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(observed:UcoexObservedExample) WHERE cpe.cpeName IS NOT NULL AND cve.ucoexploitabilityScore > 0 RETURN cve LIMIT 10","MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(:UcoexCPE),
RETURN DISTINCT cve.label"
45,Graph Pattern Matching,"Show me 10 examples where a campaign and a software tool use the same TTP. List the campaign, TTP, and tool.","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN c.ucoexNAME, t.ucoexNAME, s.ucoexNAME LIMIT 10","MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(software:UcoexSOFTWARE) RETURN campaign, technique, software LIMIT 10","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN c.ucoexNAME, t.ucoexNAME, s.ucoexNAME LIMIT 10"
46,Graph Pattern Matching,"List all [Actor, Tool] pairs, but exclude any entries where the tool is 'PowerShell'.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'PowerShell' RETURN g.ucoexNAME, s.ucoexNAME","MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE) WHERE software.ucoexNAME <> 'PowerShell' RETURN group.ucoexNAME AS Actor, software.ucoexNAME AS Tool","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'PowerShell' RETURN g.ucoexNAME, s.ucoexNAME"
47,Comparative and Ranking,Show me CVEs where the exploitability score is greater than the impact score.,"MATCH (c:UcoCVE) WHERE toInteger(c.ucoexploitabilityScore) > toInteger(c.ucoimpactScore) RETURN c.label, c.ucoexploitabilityScore, c.ucoimpactScore",MATCH (cve:UcoCVE) WHERE toFloat(cve.ucoexploitabilityScore) > toFloat(cve.ucoimpactScore) RETURN cve LIMIT 10,"MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > toFloat(c.ucoimpactScore) RETURN c.label, c.ucoexploitabilityScore, c.ucoimpactScore"
48,Comparative and Ranking,What are the top 5 most common TTPs used by threat actors?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC LIMIT 5","MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(technique:UcoexMITREATTACK)
WITH group.ucoexNAME AS groupName, COUNT(DISTINCT technique) AS numTTPs
RETURN groupName, numTTPs LIMIT 5","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexID, count(g) AS usageCount ORDER BY usageCount DESC LIMIT 5"
49,Comparative and Ranking,What are the top 3 tools most frequently used in campaigns?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(c) AS campaignUsage ORDER BY campaignUsage DESC LIMIT 3","MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(software:UcoexSOFTWARE) WITH software.ucoexNAME AS name, COUNT(campaign) AS cnt ORDER BY cnt DESC RETURN name LIMIT 3","MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) WITH s.ucoexNAME AS tool, count(c) as frequency ORDER BY frequency DESC LIMIT 3 RETURN tool, frequency"
50,Comparative and Ranking,Rank all threat actors by the size of their known toolkit (number of distinct tools).,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, count(DISTINCT s) AS softwareCount ORDER BY softwareCount DESC","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)
WITH g, COUNT(DISTINCT s) AS toolCount
RETURN g.ucoexNAME AS groupName, toolCount","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)
RETURN g.ucoexNAME, count(DISTINCT s) as toolCount"
51,Comparative and Ranking,What's the hardest-to-exploit CVE in the database (lowest exploitability score)?,MATCH (c:UcoCVE) RETURN c.label ORDER BY toInteger(c.ucoexploitabilityScore) ASC LIMIT 1,MATCH (cve:UcoCVE) RETURN cve ORDER BY toFloat(cve.ucoexploitabilityScore) ASC LIMIT 1,MATCH (cve:UcoCVE) WHERE cve.ucoexploitabilityScore = (SELECT MIN(cve2.ucoexploitabilityScore) FROM UcoCVE AS cve2) RETURN DISTINCT cve.label ORDER BY toFloat(cve.ucoexploitabilityScore) ASC LIMIT 1
52,Comparative and Ranking,What are the top 10 weaknesses (CWEs) that have the most associated attack patterns (CAPEC)?,"MATCH (cwe:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(capec:UcoexCAPEC) RETURN cwe.ucocweName, count(capec) AS capecCount ORDER BY capecCount DESC LIMIT 10","MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE)
WITH cwe, COUNT(capec) AS cnt
RETURN DISTINCT cwe.ucocweID, cwe.ucocweName, cnt","MATCH (w:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC)
RETURN w.ucocweID AS cwe, count(ca) AS patternCount"
53,Comparative and Ranking,"What's the single most effective mitigation (i.e., covers the most TTPs)?","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC LIMIT 1","MATCH (mitigation:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(technique:UcoexMITREATTACK)
WITH count(DISTINCT technique) AS cnt, mitigation
RETURN DISTINCT mitigation LIMIT 1","MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN m.ucoexNAME AS mitigationName, count(t) AS coveredTTPCount ORDER BY coveredTTPCount DESC LIMIT 1"
54,Comparative and Ranking,Rank all tools by their popularity among threat actors.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME, count(g) AS groupUsage ORDER BY groupUsage DESC","MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE)
WITH software, COUNT(group) AS cnt
RETURN software.ucoexNAME, cnt LIMIT 10","MATCH (t:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g:UcoexGROUPS)
RETURN t.ucoexNAME, count(g) as usageCount"
55,Comparative and Ranking,Which threat actor is linked to the highest number of 'CRITICAL' CVEs?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1","MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE)
WITH COUNT(DISTINCT cve) AS count, cpe
RETURN cpe LIMIT 1","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(:UcoCWE)<-[:UCOHASWEAKNESS]-(:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN g.ucoexNAME, count(c) as criticalCVEs ORDER BY criticalCVEs DESC LIMIT 1"
56,Existence and Set Operations Queries,Show me all threat actors that have a description.,MATCH (g:UcoexGROUPS) WHERE g.ucoexDESCRIPTION IS NOT NULL RETURN g.ucoexNAME,MATCH (g:UcoexGROUPS) WHERE g.ucoexDESCRIPTION IS NOT NULL RETURN DISTINCT g LIMIT 10,"MATCH (g:UcoexGROUPS) WHERE EXISTS(g.ucoexDESCRIPTION) RETURN DISTINCT g.ucoexNAME, g.ucoexDESCRIPTION LIMIT 100"
57,Existence and Set Operations Queries,List all CVEs that are tied to a specific product (have a CPE).,MATCH (c:UcoCVE) WHERE EXISTS((c)-[:UCOEXHASCPE]->()) RETURN c.label,"MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(cpe:UcoexCPE) RETURN cve, cpe LIMIT 1000",MATCH (cve:UcoCVE)-[:UCOEXHASCPE]->(:UcoexCPE) RETURN DISTINCT cve.label
58,Existence and Set Operations Queries,Show me all tools in the database that are not currently associated with any campaign.,MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS(()-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)) RETURN s.ucoexNAME,MATCH (tool:UcoexSOFTWARE) WHERE NOT tool-[:UCOEXCAMPAIGNUSESSOFTWARE]->() RETURN tool LIMIT 10,MATCH (s:UcoexSOFTWARE) WHERE NOT EXISTS {(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s)} RETURN s.ucoexNAME
59,Existence and Set Operations Queries,"Pull the records for these TTPs: 'Phishing', 'Spearphishing Attachment', and 'Drive-by Compromise'.","MATCH (t:UcoexMITREATTACK) WHERE t.ucoexNAME IN ['Phishing', 'Spearphishing Attachment', 'Drive-by Compromise'] RETURN t.ucoexNAME","MATCH (tactic:Tactic)-[:HAS_TECHNIQUE]->(technique:Technique) WHERE technique.name IN ['Phishing', 'Spearphishing Attachment', 'Drive-by Compromise'] RETURN tactic, technique",MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Phishing' OR ucoexNAME = 'Spearphishing Attachment' OR ucoexNAME = 'Drive-by Compromise'}) RETURN t
60,Existence and Set Operations Queries,Confirm if we are tracking 'APT28'.,OPTIONAL MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g IS NOT NULL AS groupExists,"MATCH (group:UcoexGROUPS {ucoexNAME: ""APT28""}) RETURN group LIMIT 1",MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'}) RETURN g.ucoexID LIMIT 1
61,Existence and Set Operations Queries,List all threat actors that use at least one tool *other than* 'Mimikatz'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME,MATCH (group:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(software:UcoexSOFTWARE) WHERE software.ucoexNAME <> 'Mimikatz' RETURN DISTINCT group LIMIT 100,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE s.ucoexNAME <> 'Mimikatz' RETURN DISTINCT g.ucoexNAME
62,Existence and Set Operations Queries,Show me all TTPs that are missing a CAPEC mapping.,MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS((t)<-[:UCOEXHASTAXONOMYMAPPING]-()) RETURN t.ucoexNAME,MATCH (ttp:UcoexTACTICS)-[:UCOEXHASTAXONOMYMAPPING]->(capec:UcoexCAPEC) WHERE NOT(capec.uri IS NULL) RETURN ttp LIMIT 10,"MATCH (t:UcoexMITREATTACK) WHERE NOT EXISTS ((t)-[:UCOEXHASTAXONOMYMAPPING]->(:UcoexCAPEC)) RETURN DISTINCT t.ucoexNAME AS technique, t.ucoexDESCRIPTION AS description LIMIT 100"
63,Existence and Set Operations Queries,Which campaigns share TTPs with APT28?,MATCH (:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WITH collect(t) as apt28Techniques MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t2) WHERE t2 in apt28Techniques RETURN DISTINCT c.ucoexNAME,MATCH (campaign1:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(technique:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(group:UcoexGROUPS) WHERE group.ucoexNAME = 'APT28' RETURN campaign1,"MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})<-[:UCOEXATTRIBUTEDTO]-(c1:UcoexCAMPAIGNS)-[r1:UCOEXCAMPAIGNUSESTECHNIQUE|UCOEXCAMPAIGNUSESSOFTWARE]->(t:UcoexMITREATTACK)
WITH c1, t
MATCH (g2:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c2:UcoexCAMPAIGNS)-[r2:UCOEXCAMPAIGNUSESTECHNIQUE|UCOEXCAMPAIGNUSESSOFTWARE]->(t)
RETURN DISTINCT c2.ucoexNAME LIMIT 10"
64,Existence and Set Operations Queries,Are there any campaigns where both Cobalt Strike and Mimikatz were used?,MATCH (s1:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s2:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN count(c) > 0 THEN true ELSE false END AS usesBoth,"MATCH (campaign:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(software1:UcoexSOFTWARE {ucoexNAME: ""Cobalt Strike""})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(software2:UcoexSOFTWARE {ucoexNAME: ""Mimikatz""})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(campaign) RETURN campaign",MATCH (s1:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s2:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN DISTINCT c.ucoexNAME
65,Existence and Set Operations Queries,Show me all mitigations that have a description.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexDESCRIPTION IS NOT NULL RETURN m.ucoexNAME,MATCH (mitigation:UcoexMITIGATIONS) WHERE mitigation.ucoexDESCRIPTION IS NOT NULL RETURN mitigation LIMIT 10,"MATCH (m:UcoexMITIGATIONS {ucoexDESCRIPTION: """"}) RETURN m.ucoexNAME, m.ucoexDESCRIPTION LIMIT 100"
66,Node Lookup Queries,Pull the record for CVE-2000-5395.,MATCH (c:UcoCVE {label: 'CVE-2000-5395'}) RETURN c,MATCH (cve:UcoCVE) WHERE cve.label = 'CVE-2000-0839' RETURN cve,MATCH (c:UcoCVE {label: 'CVE-2000-0549'}) RETURN c
67,Node Lookup Queries,Show me all 'MEDIUM' severity CVEs.,MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM'}) RETURN c,MATCH (cve:UcoCVE) WHERE cve.ucobaseSeverity = 'MEDIUM' RETURN cve LIMIT 10,"MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM'}) RETURN c.label, c.ucobaseSeverity LIMIT 100"
68,Node Lookup Queries,Get all CVEs with a status of 'Analyzed'.,MATCH (c:UcoCVE {ucovulnStatus: 'Analyzed'}) RETURN c,MATCH (cve:UcoCVE) WHERE cve.ucovulnStatus = 'Analyzed' RETURN cve LIMIT 10,"MATCH (cv:UcoCVE) WHERE cv.ucobaseStatus = ""Analyzed"" RETURN DISTINCT cv.label LIMIT 100"
69,Node Lookup Queries,Find all 'Analyzed' CVEs that allow for full privilege escalation.,"MATCH (c:UcoCVE {ucovulnStatus: 'Analyzed', ucoobtainAllPrivilege: 'true'}) RETURN c",MATCH (cve:UcoCVE) WHERE cve.ucovulnStatus = 'Analyzed' AND cve.ucoobtainAllPrivilege = true RETURN cve LIMIT 10,"MATCH (cv:UcoCVE {ucovulnStatus: ""Analyzed""})-[:UCOHASVULNERABILITY]->(:UcoVulnerability)-[:UCOHASCWE_ID]->(cwe:UcoCWE) WHERE toFloat(cv.ucoexploitabilityScore) = 10 AND cwe.ucopossiblePrivilegesRequired = 'NONE' RETURN DISTINCT cv.label LIMIT 100"
70,Node Lookup Queries,Pull all CVEs 'Awaiting Analysis' that don't allow full priv esc.,"MATCH (c:UcoCVE {ucovulnStatus: 'Awaiting Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c","MATCH (cve:UcoCVE) WHERE cve.ucovulnStatus = ""Awaiting Analysis"" AND cve.ucoobtainAllPrivilege = ""false"" RETURN cve LIMIT 10","MATCH (cv:UcoCVE {status: ""Awaiting Analysis""})-[:UCOEXHASCPE]->(p:UcoexCPE)<-[:UCOHASVULNERABILITY]-(v:UcoVulnerability) WHERE NOT EXISTS {(v)-[:UCOHASEXPLOIT*0..1]->(:Exploit {privilegesRequired: ""unprivileged"", impact: ""privilege escalation""})} RETURN DISTINCT cv.uri"
71,Node Lookup Queries,List 'Received' CVEs that *do* allow full privilege escalation.,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'true'}) RETURN c",MATCH (cve:UcoCVE) WHERE cve.ucovulnStatus = 'Received' AND cve.ucoobtainAllPrivilege = true RETURN cve LIMIT 10,"MATCH (cv:UcoCVE {ucovulnStatus: 'Received'}) WHERE cv.ucoallowFullPrivilegeEscalation = 'true' RETURN DISTINCT cv.label, cv.ucovulnStatus LIMIT 100"
72,Node Lookup Queries,Find CVEs 'Undergoing Analysis' that do not grant full privileges.,"MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c",MATCH (cve:UcoCVE) WHERE cve.ucovulnStatus = 'Undergoing Analysis' AND cve.ucoobtainAllPrivilege = 'false' RETURN cve LIMIT 10,"MATCH (cve:UcoCVE {status: ""UNDER_ANALYSIS""}) WHERE NOT EXISTS {(cve)-[:UCOEXGRANTS]->(:UcoPrivilege {name: ""FULL_PRIVILEGES""})} RETURN DISTINCT cve.uri"
73,Node Lookup Queries,Show 'HIGH' severity CVEs that are remotely exploitable without user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'false'}) RETURN c",MATCH (cve:UcoCVE) WHERE cve.ucobaseSeverity = 'HIGH' AND cve.ucoexploitabilityScore > 0.0 AND NOT cve.ucouserInteractionRequired RETURN cve LIMIT 10,"MATCH (c:UcoCVE)
RETURN DISTINCT c.label, c.ucoexploitabilityScore"
74,Node Lookup Queries,Find 'HIGH' severity CVEs 'Awaiting Analysis' that don't need user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucovulnStatus: 'Awaiting Analysis', ucouserInteractionRequired: 'false'}) RETURN c",MATCH (cve:UcoCVE) WHERE cve.ucobaseSeverity = 'HIGH' AND cve.ucovulnStatus = 'Awaiting Analysis' AND NOT cve.ucouserInteractionRequired RETURN cve LIMIT 10,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucovulnStatus: 'Awaiting Analysis'}) WHERE c.ucouserInteractionRequired IS NULL RETURN DISTINCT c.label, c.ucovulnStatus LIMIT 1000"
75,Node Lookup Queries,"Pull all vulnerability records published on Jan 15, 2020.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime STARTS WITH '2020-01-15' RETURN v,MATCH (vuln:UcoVulnerability) WHERE vuln.ucopublishedDateTime = '2020-01-15' RETURN vuln LIMIT 1000,MATCH (v:UcoVulnerability) WHERE date(v.ucopublicationDate) = date('2020-01-15') RETURN v LIMIT 100
76,Node Lookup Queries,"What vulnerabilities have been modified since June 1, 2021?",MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime > '2021-06-01T00:00:00' RETURN v,"MATCH (vuln:UcoVulnerability) WHERE vuln.ucolastModifiedDateTime > ""2021-06-01T00:00:00"" RETURN DISTINCT vuln LIMIT 10",MATCH (v:UcoVulnerability) WHERE date(v.ucolastModifiedDateTime) > '2021-06-01' RETURN DISTINCT v.ucosummary LIMIT 100
77,Node Lookup Queries,Search vulnerability summaries for 'remote code execution'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN v,MATCH (vulnerability:UcoVulnerability) WHERE vulnerability.ucosummary CONTAINS 'remote code execution' RETURN vulnerability LIMIT 10,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN DISTINCT v.ucosummary
78,Node Lookup Queries,List all 'CRITICAL' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL'}) RETURN v,MATCH (vulnerability:UcoVulnerability) WHERE vulnerability.ucoseverity = 'CRITICAL' RETURN vulnerability LIMIT 10,"MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(cv:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN DISTINCT v.ucoid AS id, v.ucosummary AS summary LIMIT 100"
79,Node Lookup Queries,List all 'HIGH' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) RETURN v,MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE cve.ucobaseSeverity = 'HIGH' RETURN vuln LIMIT 10,"MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(cv:UcoCVE {ucobaseSeverity: ""HIGH""}) RETURN v.ucosummary, cv.label LIMIT 100"
80,Node Lookup Queries,List all 'MEDIUM' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'MEDIUM'}) RETURN v,MATCH (vuln:UcoVulnerability { ucosummary: 'MEDIUM' }) RETURN vuln LIMIT 10,"MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE {ucobaseSeverity: ""MEDIUM""}) RETURN DISTINCT v.ucosummary, cve.label LIMIT 1000"
81,Node Lookup Queries,List all 'LOW' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'LOW'}) RETURN v,MATCH (vulnerability:UcoVulnerability) WHERE vulnerability.ucoseverity = 'LOW' RETURN DISTINCT vulnerability LIMIT 10,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(cv:UcoCVE {ucobaseSeverity: 'LOW'}) RETURN DISTINCT v.ucosummary LIMIT 1000
82,Node Lookup Queries,Show all vulnerabilities with a status of 'Analyzed'.,MATCH (v:UcoVulnerability {ucovulnStatus: 'Analyzed'}) RETURN v,MATCH (vulnerability:UcoVulnerability) WHERE vulnerability.ucovulnStatus = 'Analyzed' RETURN vulnerability LIMIT 10,"MATCH (v:UcoVulnerability {ucovulnStatus: ""Analyzed""}) RETURN v LIMIT 1000"
83,Node Lookup Queries,Find vulnerabilities with an impact score of exactly 5.0.,MATCH (v:UcoVulnerability) WHERE toFloat(v.ucoimpactScore) = 5.0 RETURN v,MATCH (cve:UcoCVE) WHERE cve.ucoimpactScore = '5.0' RETURN cve LIMIT 10,"MATCH (v:UcoVulnerability)<-[:UCOEXHASCVE_ID]-(cv:UcoCVE) WHERE toFloat(cv.ucoimpactScore) = 5.0 RETURN DISTINCT v.ucosummary, cv.label LIMIT 100"
