Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Existence and Set Operations Queries,Show me all mitigations that have a description.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexDESCRIPTION IS NOT NULL RETURN m.ucoexNAME,Which mitigations have a description?
Node Lookup Queries,Pull the record for CVE-2009-2228.,MATCH (c:UcoCVE {label: 'CVE-2009-2228'}) RETURN c,Find all data for 'CVE-2009-2228'.
Node Lookup Queries,Show me all CVEs with an impact score below 3.9.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 3.9 RETURN c,Which CVEs have an impact score below 3.9?
Node Lookup Queries,Show me all CVEs with an impact score above 6.4.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 6.4 RETURN c,Which CVEs have an impact score above 6.4?
Node Lookup Queries,List 'Received' CVEs that *do* allow full privilege escalation.,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'true'}) RETURN c",Which 'Received' CVEs allow an attacker to 'obtain all privilege'?
Node Lookup Queries,Find CVEs 'Undergoing Analysis' that do not grant full privileges.,"MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c",Find CVEs 'Undergoing Analysis' that do not allow an attacker to 'obtain all privilege'.
Node Lookup Queries,Show 'HIGH' severity CVEs that are remotely exploitable without user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'false'}) RETURN c",Show me 'HIGH' severity CVEs that don't require user interaction.
Node Lookup Queries,"Pull all vulnerability records published on Jan 15, 2020.",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime STARTS WITH '2020-01-15' RETURN v,Find all vulnerabilities published on '2020-01-15'.
Node Lookup Queries,"What vulnerabilities have been modified since June 1, 2021?",MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime > '2021-06-01T00:00:00' RETURN v,"Which vulnerabilities have been modified since June 1, 2021?"
Node Lookup Queries,Search vulnerability summaries for 'remote code execution'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN v,Find all vulnerabilities that mention 'remote code execution' in their summary.
Node Lookup Queries,List all 'CRITICAL' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL'}) RETURN v,List all 'CRITICAL' severity vulnerabilities.
Node Lookup Queries,List all 'HIGH' severity vulnerability records.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) RETURN v,List all 'HIGH' severity vulnerabilities.
Node Lookup Queries,Show all vulnerabilities with a status of 'Analyzed'.,MATCH (v:UcoVulnerability {ucovulnStatus: 'Analyzed'}) RETURN v,Which vulnerabilities have a status of 'Analyzed'?
Node Lookup Queries,Show vulnerabilities that *don't* grant full privileges.,MATCH (v:UcoVulnerability {ucoobtainAllPrivilege: 'false'}) RETURN v,Show me vulnerabilities that do not allow an attacker to 'obtain all privilege'.
Node Lookup Queries,Search vulnerability summaries for 'IoT device'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'IoT device' RETURN v,Find all vulnerabilities that mention 'IoT device' in their summary.
Node Lookup Queries,"List 'Base' level, 'Composite' structure CWEs with a 'Stable' status.","MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostructure: 'Composite', ucostatus: 'Stable'}) RETURN c",List 'Base' level weaknesses with 'Composite' structure that are 'Stable'.
Node Lookup Queries,Find weakness types (CWEs) related to 'denial of service'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'denial of service' RETURN c,Find all weaknesses (CWEs) that mention 'denial of service' in their description.
Node Lookup Queries,"Show 'LOW' severity, 'Modified' CVEs that don't need user interaction.","MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucovulnStatus: 'Modified', ucouserInteractionRequired: 'false'}) RETURN c","Show 'LOW' severity, 'Modified' CVEs that don't require user interaction."
Node Lookup Queries,List all 'Pillar' level CWEs.,MATCH (c:UcoCWE {ucoabstraction: 'Pillar'}) RETURN c,List all 'Pillar' level weaknesses.
Node Lookup Queries,Find all CWEs marked as 'Incomplete'.,MATCH (c:UcoCWE {ucostatus: 'Incomplete'}) RETURN c,Find all weaknesses marked as 'Incomplete'.
Node Lookup Queries,Find the weakness 'Reliance on Untrusted Inputs in a Security Decision'.,MATCH (c:UcoCWE {ucocweName: 'Reliance on Untrusted Inputs in a Security Decision'}) RETURN c,Show me all data for 'Reliance on Untrusted Inputs in a Security Decision'.
Node Lookup Queries,Pull the record for 'Insecure Default Initialization of Resource'.,MATCH (c:UcoCWE {ucocweName: 'Insecure Default Initialization of Resource'}) RETURN c,Show me all data for 'Insecure Default Initialization of Resource'.
Node Lookup Queries,Find information on 'Missing Encryption of Sensitive Data'.,MATCH (c:UcoCWE {ucocweName: 'Missing Encryption of Sensitive Data'}) RETURN c,Show me all data for 'Missing Encryption of Sensitive Data'.
Node Lookup Queries,Find any CWE summaries that mention 'authentication'.,MATCH (c:UcoCWE) WHERE c.ucocweSummary CONTAINS 'authentication' RETURN c,Find all weaknesses that mention 'authentication' in their summary.
Node Lookup Queries,Search CWE descriptions for 'buffer' related weaknesses.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'buffer' RETURN c,Find all weaknesses that mention 'buffer' in their description.
Node Lookup Queries,List all CWEs with 'injection' in their description.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'injection' RETURN c,Find all weaknesses that mention 'injection' in their description.
Node Lookup Queries,Show weaknesses involving 'credentials' in their description.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'credentials' RETURN c,Show weaknesses that mention 'credentials' in their description.
Node Lookup Queries,Find all 'Base' abstraction CWEs that are 'Stable'.,"MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Stable'}) RETURN c",Which 'Base' level weaknesses are 'Stable'?
Node Lookup Queries,List all 'Base' weaknesses that are in 'Draft' status.,"MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Draft'}) RETURN c",Which 'Base' weaknesses are in 'Draft' status?
Node Lookup Queries,Search CWE descriptions for 'SQL' related weaknesses.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'SQL' RETURN c,Find all weaknesses that mention 'SQL' in their description.
Node Lookup Queries,Are there any weaknesses related to 'cross-site scripting' in the descriptions?,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'cross-site scripting' RETURN c,Find all weaknesses that mention 'cross-site scripting' in their description.
Node Lookup Queries,List all CWEs that talk about 'memory leak'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'memory leak' RETURN c,Find all weaknesses that mention 'memory leak' in their description.
Node Lookup Queries,Show weaknesses involving 'deserialization'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'deserialization' RETURN c,Show weaknesses that mention 'deserialization' in their description.
Node Lookup Queries,Show all 'Standard' abstraction CAPEC patterns.,MATCH (c:UcoexCAPEC {ucoexAbstraction: 'Standard'}) RETURN c,Show all 'Standard' level attack patterns (CAPEC).
Node Lookup Queries,Pull the record for CAPEC-519.,MATCH (c:UcoexCAPEC {ucoexCAPEC_id: '519'}) RETURN c,Show me all data for 'CAPEC-519'.
Node Lookup Queries,Find CAPEC patterns whose description mentions 'credentials'.,MATCH (c:UcoexCAPEC) WHERE c.ucoexDescription CONTAINS 'credentials' RETURN c,Find all attack patterns (CAPEC) that mention 'credentials' in their description.
Node Lookup Queries,List CAPEC patterns requiring 'Low' attacker skill.,MATCH (c:UcoexCAPEC) WHERE ANY(s IN c.ucoexSkills_Required WHERE s CONTAINS 'Level:Low') RETURN c,Which attack patterns (CAPEC) require a 'Low' skill level?
Node Lookup Queries,Get the name and description for CWE-125.,"MATCH (c:UcoCWE {ucocweID: 'CWE-125'}) RETURN c.ucocweName, c.ucodescription",What is the name and description for weakness 'CWE-125'?
Node Lookup Queries,Find 'Base' level CWEs that are 'Deprecated'.,"MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Deprecated'}) RETURN c",Which 'Base' level weaknesses are 'Deprecated'?
Node Lookup Queries,Find 'Class' level CWEs that are 'Incomplete'.,"MATCH (c:UcoCWE {ucoabstraction: 'Class', ucostatus: 'Incomplete'}) RETURN c",Which 'Class' level weaknesses are 'Incomplete'?
Node Lookup Queries,Find 'Variant' level CWEs that are 'Deprecated'.,"MATCH (c:UcoCWE {ucoabstraction: 'Variant', ucostatus: 'Deprecated'}) RETURN c",Which 'Variant' level weaknesses are 'Deprecated'?
Node Lookup Queries,Find 'Compound' level CWEs that are 'Incomplete'.,"MATCH (c:UcoCWE {ucoabstraction: 'Compound', ucostatus: 'Incomplete'}) RETURN c",Which 'Compound' level weaknesses are 'Incomplete'?
Node Lookup Queries,Find CWE summaries that mention 'overflow'.,MATCH (c:UcoCWE) WHERE c.ucocweSummary CONTAINS 'overflow' RETURN c,Find all weaknesses that mention 'overflow' in their summary.
Node Lookup Queries,Get details for the 'Lateral Movement' TTP.,MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Lateral Movement'}) RETURN t,Show me all data for the 'Lateral Movement' technique.
Node Lookup Queries,List all ATT&CK TTPs for the 'Mobile'.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Mobile'}) RETURN t.ucoexNAME,List the names of all 'Mobile' attack techniques.
Node Lookup Queries,Find the software record for 'Cobalt Strike'.,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) RETURN s,Show me all data for the 'Cobalt Strike' software.
Node Lookup Queries,Pull the intel on the 'Lazarus Group' threat group.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) RETURN g,Show me all data for the 'Lazarus Group'.
Node Lookup Queries,Get details for the 'WannaCry' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'}) RETURN c,Show me all data for the 'WannaCry' campaign.
Relationship Traversal Queries,What is the CPE for 'CVE-2021-44228'?,MATCH (v:UcoCVE {label: 'CVE-2021-44228'})-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN c.cpeName,What product (CPE) is affected by 'CVE-2021-44228'?
Relationship Traversal Queries,Which CVEs are associated with the CPE 'apache:log4j'?,MATCH (v:UcoCVE)-[:UCOEXHASCPE]->(c:UcoexCPE) WHERE c.cpeName CONTAINS 'apache:log4j' RETURN v.label,Which CVEs are linked to the product 'cpe:2.3:a:apache:log4j:2.14.1'?
Relationship Traversal Queries,List all CVEs with 'CRITICAL' severity and their associated CPEs.,"MATCH (v:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN v.label, c.cpeName",List 'CRITICAL' CVEs and the products (CPEs) they affect.
Relationship Traversal Queries,Find all CVEs requiring user interaction and their CPEs.,"MATCH (v:UcoCVE {ucouserInteractionRequired: 'True'})-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN v.label, c.cpeName",Find all CVEs that require user interaction and the products (CPEs) they affect.
Relationship Traversal Queries,Show me up to 20 known CPEs that are linked to vulnerabilities which recorded in the database.,MATCH (v:UcoCVE)-[:UCOEXHASCPE]->(c:UcoexCPE) RETURN DISTINCT c.cpeName LIMIT 20,Show me up to 20 unique product names (CPEs) that are linked to vulnerabilities.
Relationship Traversal Queries,What is the CVE ID for the vulnerability described as 'Apache Log4j RCE'?,MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE vuln.ucosummary CONTAINS 'Apache Log4j RCE' RETURN cve.label,What is the CVE ID for the vulnerability with 'Apache Log4j RCE' in its summary?
Relationship Traversal Queries,Get the vulnerability summary for 'CVE-2017-0144'.,MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE {label: 'CVE-2017-0144'}) RETURN vuln.ucosummary,What is the vulnerability summary for 'CVE-2017-0144'?
Relationship Traversal Queries,List vulnerabilities published in 2024 and their CVEs.,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) WHERE vuln.ucopublishedDateTime STARTS WITH '2024' RETURN vuln.ucosummary, cve.label",List vulnerabilities published in 2024 and their CVE IDs.
Relationship Traversal Queries,Find all vulnerabilities and their associated 'CRITICAL' CVEs.,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN cve.label, vuln.ucosummary",Find all 'CRITICAL' CVEs and their vulnerability summaries.
Relationship Traversal Queries,Show all vulnerability summaries and their CVE labels.,"MATCH (vuln:UcoVulnerability)-[:UCOHASCVE_ID]->(cve:UcoCVE) RETURN vuln.ucosummary, cve.label LIMIT 20",Show me 20 vulnerability summaries and their CVE IDs.
Relationship Traversal Queries,What vulnerabilities are associated with the exploit target 'Apache Log4j 2'?,MATCH (et:UcoExploitTarget {uri: 'example/target/log4j2'})-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) RETURN vuln.ucosummary,What vulnerabilities are linked to the exploit target 'example/target/log4j2'?
Relationship Traversal Queries,Find exploit targets for the 'Log4Shell' vulnerability.,MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'Log4Shell' RETURN et.uri,What exploit targets are associated with the 'Log4Shell' vulnerability?
Relationship Traversal Queries,List exploit targets for vulnerabilities published after '2023-01-01'.,"MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) WHERE vuln.ucopublishedDateTime > '2023-01-01T00:00:00' RETURN et.uri, vuln.ucosummary","List exploit targets for vulnerabilities published after January 1, 2023."
Relationship Traversal Queries,Show all exploit targets that have at least one vulnerability.,MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) RETURN DISTINCT et.uri,Show all exploit targets that are linked to at least one vulnerability.
Relationship Traversal Queries,What vulnerabilities exist for the 'Windows SMB' exploit target?,MATCH (et:UcoExploitTarget {uri: 'example/target/smb'})-[:UCOHASVULNERABILITY]->(vuln:UcoVulnerability) RETURN vuln.ucosummary,What vulnerabilities are linked to the 'example/target/smb' exploit target?
Relationship Traversal Queries,What weaknesses (CWEs) are associated with the 'Web Server' exploit target?,"MATCH (et:UcoExploitTarget {uri: 'example/target/webserver'})-[:UCOHASWEAKNESS]->(cwe:UcoCWE) RETURN cwe.ucocweID, cwe.ucocweName",What weaknesses (CWEs) are associated with the 'example/target/webserver' exploit target?
Relationship Traversal Queries,Find exploit targets that are susceptible to 'CWE-89' (SQL Injection).,MATCH (et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE {ucocweID: 'CWE-89'}) RETURN et.uri,Which exploit targets are vulnerable to 'CWE-89' (SQL Injection)?
Relationship Traversal Queries,List exploit targets for all 'Base' abstraction CWEs.,"MATCH (et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE {ucoabstraction: 'Base'}) RETURN et.uri, cwe.ucocweName",List exploit targets that are vulnerable to 'Base' level weaknesses (CWEs).
Relationship Traversal Queries,Show all exploit targets and the names of the weaknesses they have.,"MATCH (et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE) RETURN et.uri, cwe.ucocweName",Show all exploit targets and the weaknesses (CWEs) they are linked to.
Relationship Traversal Queries,Find targets for 'Stable' CWEs.,"MATCH (et:UcoExploitTarget)-[:UCOHASWEAKNESS]->(cwe:UcoCWE {ucostatus: 'Stable'}) RETURN et.uri, cwe.ucocweName",Find exploit targets that are vulnerable to 'Stable' weaknesses (CWEs).
Relationship Traversal Queries,What software was used in the 'SolarWinds Orion' campaign?,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds Orion'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'SolarWinds Orion' campaign?
Relationship Traversal Queries,Which campaigns used 'Cobalt Strike'?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) RETURN c.ucoexNAME,Which campaigns used 'Cobalt Strike'?
Relationship Traversal Queries,List campaigns that use 'powershell'.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'powershell'}) RETURN c.ucoexNAME,Which campaigns used 'powershell'?
Relationship Traversal Queries,Show all 'Enterprise' domain campaigns and the software they leverage.,"MATCH (c:UcoexCAMPAIGNS {ucoexDOMAIN: 'Enterprise'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN c.ucoexNAME, s.ucoexNAME",List 'Enterprise' campaigns and the software they used.
Relationship Traversal Queries,Find software used in the 'WannaCry' campaign.,MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software was used in the 'WannaCry' campaign?
Relationship Traversal Queries,Which campaigns use the 'Phishing' technique?,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexNAME: 'Phishing'}) RETURN c.ucoexNAME,Which campaigns used the 'Phishing' technique?
Relationship Traversal Queries,List all 'Enterprise' domain campaigns and their associated techniques.,"MATCH (c:UcoexCAMPAIGNS {ucoexDOMAIN: 'Enterprise'})-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, t.ucoexNAME",List 'Enterprise' campaigns and the techniques they used.
Relationship Traversal Queries,Which groups use 'Mimikatz'?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN g.ucoexNAME,Which groups use 'Mimikatz'?
Relationship Traversal Queries,List all groups and the software they are known to use.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN g.ucoexNAME, s.ucoexNAME",List all groups and the software they use.
Relationship Traversal Queries,Find groups that use 'netcat'.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE {ucoexNAME: 'netcat'}) RETURN g.ucoexNAME,Which groups use 'netcat'?
Relationship Traversal Queries,List all software (by name) used by 'FIN7'.,MATCH (g:UcoexGROUPS {ucoexNAME: 'FIN7'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software does the 'FIN7' group use?
Multi-hop Queries,Find mitigations for techniques used by 'APT28'.,"MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME, t.ucoexNAME",What are the prescribed mitigations for TTPs employed by APT28?
Multi-hop Queries,What other techniques are used by the group responsible for the 'WannaCry' campaign?,"MATCH (c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'})-[:UCOEXATTRIBUTEDTO]->(g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, t.ucoexNAME",Identify the threat group behind 'WannaCry' and list their known TTPs.
Multi-hop Queries,What specific software (CPEs) are affected by 'CVE-2023-1234'?,MATCH (c:UcoCVE {label: 'CVE-2023-1234'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName,Which CPEs are affected by CVE-2023-1234?
Multi-hop Queries,What weaknesses (CWEs) are associated with real-world examples observed in 'CVE-2024-0001'?,"MATCH (c:UcoCVE {label: 'CVE-2024-0001'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN w.ucocweID, w.ucocweName",What CWEs have observed examples linked to CVE-2024-0001?
Multi-hop Queries,Which threat groups use techniques that are also employed by the 'Cobalt Strike' software?,MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN DISTINCT g.ucoexNAME,Which threat groups utilize TTPs associated with 'Cobalt Strike'?
Multi-hop Queries,What exploit targets are vulnerable to weaknesses related to the 'SQL Injection' (CAPEC-66) attack pattern?,MATCH (ca:UcoexCAPEC {ucoexCAPEC_id: '66'})-[:UCOEXHASRELATEDWEAKNESS]->(cw:UcoCWE)<-[:UCOHASWEAKNESS]-(et:UcoExploitTarget) RETURN et.uri,What exploit targets are vulnerable to CWEs related to CAPEC-66 (SQL Injection)?
Multi-hop Queries,What software uses ATT&CK techniques that are countered by the D3FEND technique 'Decoy File'?,MATCH (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'Decoy File'})-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software employs techniques that are countered by the 'Decoy File' D3FEND mitigation?
Multi-hop Queries,Find campaigns that use the same software as the 'Lazarus Group'.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN DISTINCT c.ucoexNAME,Identify campaigns that share tooling with 'Lazarus Group'.
Multi-hop Queries,Show mitigations for ATT&CK techniques associated with CAPEC ID '125' (Flooding).,MATCH (ca:UcoexCAPEC {ucoexCAPEC_id: '125'})-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN m.ucoexNAME,What mitigations map to the ATT&CK TTPs for CAPEC-125 (Flooding)?
Multi-hop Queries,List all products (CPEs) affected by vulnerabilities published after '2024-01-01'.,"MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) WHERE v.ucopublishedDateTime > '2024-01-01T00:00:00' RETURN p.cpeName, c.label",List all CPEs affected by vulnerabilities published since 2024-01-01.
Multi-hop Queries,What techniques are used in campaigns attributed to 'APT29'?,"MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, t.ucoexNAME",What TTPs are observed in campaigns attributed to APT29?
Multi-hop Queries,"For CWE-79 (Cross-site Scripting), find all related CAPEC attack patterns and their corresponding MITRE ATT&CK techniques.","MATCH (w:UcoCWE {ucocweID: 'CWE-79'})<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK) RETURN ca.ucoexCAPEC_name, t.ucoexNAME",Map CWE-79 to its related CAPEC patterns and their corresponding ATT&CK TTPs.
Multi-hop Queries,Find all 'CRITICAL' severity CVEs associated with 'WebServer' exploit targets.,MATCH (et:UcoExploitTarget {uri: 'WebServer'})-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN c.label,List critical CVEs associated with the 'WebServer' exploit target.
Multi-hop Queries,What software tools implement attack techniques used by the 'Sandworm Team'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXSOFTWAREUSESTECHNIQUE]-(s:UcoexSOFTWARE) RETURN DISTINCT s.ucoexNAME,What software tools implement TTPs used by 'Sandworm Team'?
Multi-hop Queries,Find attack patterns (CAPEC) related to weaknesses (CWE) that have observed examples in 'CVE-2021-44228' (Log4Shell).,"MATCH (c:UcoCVE {label: 'CVE-2021-44228'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE)<-[:UCOEXHASRELATEDWEAKNESS]-(ca:UcoexCAPEC) RETURN w.ucocweID, ca.ucoexCAPEC_name",Identify CAPEC patterns related to the root-cause CWEs for CVE-2021-44228.
Aggregation and Counting,How many distinct ATT&CK techniques does each threat group use?,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, count(DISTINCT t) AS techniqueCount ORDER BY techniqueCount DESC","Provide a count of distinct ATT&CK techniques per threat group, ordered descending."
Aggregation and Counting,List all software products (CPEs) and the total number of CVEs affecting them.,"MATCH (c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS cveCount ORDER BY cveCount DESC","List all CPEs by their total associated CVE count, descending."
Aggregation and Counting,How many different software tools are used in each campaign?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN c.ucoexNAME, count(s) AS softwareCount",How many distinct software tools are associated with each campaign?
Aggregation and Counting,What is the average exploitability score for 'HIGH' severity CVEs?,MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) RETURN avg(toFloat(c.ucoexploitabilityScore)) AS avgExploitability,What is the average exploitability score for 'HIGH' severity CVEs?
Aggregation and Counting,Which ATT&CK techniques are used by the most threat groups? List the top 5.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC LIMIT 5",Identify the top 5 ATT&CK techniques most commonly leveraged by threat groups.
Aggregation and Counting,How many related weaknesses (CWEs) does each 'High' severity CAPEC pattern have?,"MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN ca.ucoexCAPEC_name, count(w) AS weaknessCount",Provide a count of related CWEs for each 'High' severity CAPEC pattern.
Aggregation and Counting,Show the top 10 ATT&CK techniques with the most available mitigations.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount DESC LIMIT 10",Which 10 ATT&CK techniques have the highest number of associated mitigations?
Aggregation and Counting,"Give me a breakdown of all CVEs by their vulnerability status (e.g., 'Analyzed', 'Modified').","MATCH (c:UcoCVE) RETURN c.ucovulnStatus, count(c) AS statusCount",Generate a count of all CVEs aggregated by their vulnerability status.
Aggregation and Counting,Which CPE (product) has the most 'HIGH' severity CVEs?,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS highSeverityCount ORDER BY highSeverityCount DESC LIMIT 1",Which single CPE has the most 'HIGH' severity CVEs?
Aggregation and Counting,List all campaigns and the number of ATT&CK techniques they employ.,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, count(t) AS techniqueCount",List all campaigns and their associated ATT&CK technique count.
