Category,NaturalLanguageQuestion,CypherQuery,generated_question
Existence and Set Operations Queries,Has there been an attack that used 'Cobalt Strike' and 'Mimikatz' together?,MATCH (s1:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'})<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s2:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'}) RETURN CASE WHEN count(c) > 0 THEN true ELSE false END AS usesBoth,Is there any campaign that uses both 'Cobalt Strike' and 'Mimikatz'?
Existence and Set Operations Queries,Show me all the defenses you have information on.,MATCH (m:UcoexMITIGATIONS) WHERE m.ucoexDESCRIPTION IS NOT NULL RETURN m.ucoexNAME,List all mitigations that have a description available.
Node Lookup Queries,What is the vulnerability 'CVE-2009-2228'?,MATCH (c:UcoCVE {label: 'CVE-2009-2228'}) RETURN c,Tell me everything about the vulnerability 'CVE-2009-2228'.
Node Lookup Queries,Can you explain 'CVE-2000-5395'?,MATCH (c:UcoCVE {label: 'CVE-2000-5395'}) RETURN c,Tell me everything about the vulnerability 'CVE-2000-5395'.
Node Lookup Queries,What are the details for 'CVE-2013-3014'?,MATCH (c:UcoCVE {label: 'CVE-2013-3014'}) RETURN c,Tell me everything about the vulnerability 'CVE-2g013-3014'.
Node Lookup Queries,Look up 'CVE-2001-8911'.,MATCH (c:UcoCVE {label: 'CVE-2001-8911'}) RETURN c,Tell me everything about the vulnerability 'CVE-2001-8911'.
Node Lookup Queries,What is 'CVE-2001-2833'?,MATCH (c:UcoCVE {label: 'CVE-2001-2833'}) RETURN c,Tell me everything about the vulnerability 'CVE-2001-2833'.
Node Lookup Queries,I need info on 'CVE-2008-4165'.,MATCH (c:UcoCVE {label: 'CVE-2008-4165'}) RETURN c,Tell me everything about the vulnerability 'CVE-2008-4165'.
Node Lookup Queries,What can you tell me about 'CVE-2008-4893'?,MATCH (c:UcoCVE {label: 'CVE-2008-4893'}) RETURN c,Tell me everything about the vulnerability 'CVE-2008-4893'.
Node Lookup Queries,Provide details for 'CVE-2000-3853'.,MATCH (c:UcoCVE {label: 'CVE-2000-3853'}) RETURN c,Tell me everything about the vulnerability 'CVE-2000-3853'.
Node Lookup Queries,What is the security flaw 'CVE-2022-8752'?,MATCH (c:UcoCVE {label: 'CVE-2022-8752'}) RETURN c,Tell me everything about the vulnerability 'CVE-2022-8752'.
"File-System-Vulnerability-Management""",Can you pull up the file for 'CVE-2004-8211'?,MATCH (c:UcoCVE {label: 'CVE-2004-8211'}) RETURN c,Tell me everything about the vulnerability 'CVE-2004-8211'.
Node Lookup Queries,What is the vulnerability 'CVE-2018-1193'?,MATCH (c:UcoCVE {label: 'CVE-2018-1193'}) RETURN c,Tell me everything about the vulnerability 'CVE-2018-1193'.
Node Lookup Queries,Can you look up 'CVE-2001-5323'?,MATCH (c:UcoCVE {label: 'CVE-2001-5323'}) RETURN c,Tell me everything about the vulnerability 'CVE-2001-5323'.
Node Lookup Queries,I need information on 'CVE-2004-1107'.,MATCH (c:UcoCVE {label: 'CVE-2004-1107'}) RETURN c,Tell me everything about the vulnerability 'CVE-2004-1107'.
Node Lookup Queries,What are the details for 'CVE-2017-4289'?,MATCH (c:UcoCVE {label: 'CVE-2017-4289'}) RETURN c,Tell me everything about the vulnerability 'CVE-2017-4289'.
Node Lookup Queries,What's the story with 'CVE-2004-5733'?,MATCH (c:UcoCVE {label: 'CVE-2004-5733'}) RETURN c,Tell me everything about the vulnerability 'CVE-2004-5733'.
Node Lookup Queries,Please find 'CVE-2009-4235'.,MATCH (c:UcoCVE {label: 'CVE-2009-4235'}) RETURN c,Tell me everything about the vulnerability 'CVE-2009-4235'.
Node Lookup Queries,Tell me about 'CVE-2001-9291'.,MATCH (c:UcoCVE {label: 'CVE-2001-9291'}) RETURN c,Tell me everything about the vulnerability 'CVE-2001-9291'.
Node Lookup Queries,What is 'CVE-2001-2379'?,MATCH (c:UcoCVE {label: 'CVE-2001-2379'}) RETURN c,Tell me everything about the vulnerability 'CVE-2001-2379'.
Node Lookup Queries,Look up the flaw 'CVE-2019-4134'.,MATCH (c:UcoCVE {label: 'CVE-2019-4134'}) RETURN c,Tell me everything about the vulnerability 'CVE-2019-4134'.
Node Lookup Queries,Can you explain 'CVE-2019-4711'?,MATCH (c:UcoCVE {label: 'CVE-2019-4711'}) RETURN c,Tell me everything about the vulnerability 'CVE-2019-4711'.
Node Lookup Queries,What are the specifics of 'CVE-2004-8833'?,MATCH (c:UcoCVE {label: 'CVE-2004-8833'}) RETURN c,Tell me everything about the vulnerability 'CVE-2004-8833'.
Node Lookup Queries,I'd like to know about 'CVE-2019-2865'.,MATCH (c:UcoCVE {label: 'CVE-2019-2865'}) RETURN c,Tell me everything about the vulnerability 'CVE-2019-2865'.
Node Lookup Queries,Pull up the info for 'CVE-2018-8093'.,MATCH (c:UcoCVE {label: 'CVE-2018-8093'}) RETURN c,Tell me everything about the vulnerability 'CVE-2018-8093'.
Node Lookup Queries,What's 'CVE-2008-3397' about?,MATCH (c:UcoCVE {label: 'CVE-2008-3397'}) RETURN c,Tell me everything about the vulnerability 'CVE-2008-3397'.
Node Lookup Queries,Tell me about the security issue 'CVE-2008-1843'.,MATCH (c:UcoCVE {label: 'CVE-2008-1843'}) RETURN c,Tell me everything about the vulnerability 'CVE-2008-1843'.
Node Lookup Queries,Can you find 'CVE-2019-4499'?,MATCH (c:UcoCVE {label: 'CVE-2019-4499'}) RETURN c,Tell me everything about the vulnerability 'CVE-2019-4499'.
Node Lookup Queries,What is the flaw 'CVE-2007-4014'?,MATCH (c:UcoCVE {label: 'CVE-2007-4014'}) RETURN c,Tell me everything about the vulnerability 'CVE-2007-4014'.
Node Lookup Queries,"Details for 'CVE-2005-1133', please.",MATCH (c:UcoCVE {label: 'CVE-2005-1133'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-1133'.
Node Lookup Queries,What can you tell me about 'CVE-2009-5368'?,MATCH (c:UcoCVE {label: 'CVE-2009-5368'}) RETURN c,Tell me everything about the vulnerability 'CVE-2009-5368'.
Node Lookup Queries,Look up 'CVE-2017-7028'.,MATCH (c:UcoCVE {label: 'CVE-2017-7028'}) RETURN c,Tell me everything about the vulnerability 'CVE-2017-7028'.
Node Lookup Queries,Find info on 'CVE-2004-4919'.,MATCH (c:UcoCVE {label: 'CVE-2004-4919'}) RETURN c,Tell me everything about the vulnerability 'CVE-2004-4919'.
Node Lookup Queries,What is 'CVE-2005-8499'?,MATCH (c:UcoCVE {label: 'CVE-2005-8499'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-8499'.
Node Lookup Queries,Can you explain 'CVE-2005-0646'?,MATCH (c:UcoCVE {label: 'CVE-2005-0646'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-0646'.
Node Lookup Queries,What are the details for 'CVE-2005-4311'?,MATCH (c:UcoCVE {label: 'CVE-2005-4311'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-4311'.
Node Lookup Queries,I need to know about 'CVE-2005-7382'.,MATCH (c:UcoCVE {label: 'CVE-2005-7382'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-7382'.
Node Lookup Queries,What's the issue with 'CVE-2005-1302'?,MATCH (c:UcoCVE {label: 'CVE-2005-1302'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-1302'.
Node Lookup Queries,Give me the rundown on 'CVE-2005-4309'.,MATCH (c:UcoCVE {label: 'CVE-2005-4309'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-4309'.
Node Lookup Queries,What is 'CVE-2005-1311'?,MATCH (c:UcoCVE {label: 'CVE-2005-1311'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-1311'.
Node Lookup Queries,Look up the vulnerability 'CVE-2005-1312'.,MATCH (c:UcoCVE {label: 'CVE-2005-1312'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-1312'.
Node Lookup Queries,Find details for 'CVE-2005-1313'.,MATCH (c:UcoCVE {label: 'CVE-2005-1313'}) RETURN c,Tell me everything about the vulnerability 'CVE-2005-1313'.
Node Lookup Queries,Can I see a list of all 'HIGH' severity vulnerabilities?,MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) RETURN c,Show me all vulnerabilities with a 'HIGH' severity rating.
Node Lookup Queries,What vulnerabilities are considered 'MEDIUM' severity?,MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM'}) RETURN c,Show me all vulnerabilities with a 'MEDIUM' severity rating.
Node Lookup Queries,Find all 'LOW' severity vulnerabilities.,MATCH (c:UcoCVE {ucobaseSeverity: 'LOW'}) RETURN c,Show me all vulnerabilities with a 'LOW' severity rating.
Node Lookup Queries,Which vulnerabilities have been 'Deferred'?,MATCH (c:UcoCVE {ucovulnStatus: 'Deferred'}) RETURN c,Find all vulnerabilities with a status of 'Deferred'.
Node Lookup Queries,Show me the vulnerabilities that are 'Analyzed'.,MATCH (c:UcoCVE {ucovulnStatus: 'Analyzed'}) RETURN c,Find all vulnerabilities with a status of 'Analyzed'.
Node Lookup Queries,List all flaws that have been 'Modified'.,MATCH (c:UcoCVE {ucovulnStatus: 'Modified'}) RETURN c,Find all vulnerabilities with a status of 'Modified'.
Node Lookup Queries,Which vulnerabilities are 'Awaiting Analysis'?,MATCH (c:UcoCVE {ucovulnStatus: 'Awaiting Analysis'}) RETURN c,Find all vulnerabilities with a status of 'Awaiting Analysis'.
Node Lookup Queries,Can I see the vulnerabilities that were 'Rejected'?,MATCH (c:UcoCVE {ucovulnStatus: 'Rejected'}) RETURN c,Find all vulnerabilities with a status of 'Rejected'.
Node Lookup Queries,What vulnerabilities are 'Undergoing Analysis' right now?,MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis'}) RETURN c,Find all vulnerabilities with a status of 'Undergoing Analysis'.
Node Lookup Queries,List all vulnerabilities with a 'Received' status.,MATCH (c:UcoCVE {ucovulnStatus: 'Received'}) RETURN c,Find all vulnerabilities with a status of 'Received'.
Node Lookup Queries,Find all flaws with an impact rating lower than 3.9.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 3.9 RETURN c,Show me all vulnerabilities with an impact score below 3.9.
Node Lookup Queries,Which vulnerabilities are really easy to exploit (score over 9.2)?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > 9.2 RETURN c,Show me all vulnerabilities with an exploitability score above 9.2.
Node Lookup Queries,List flaws with an exploitability score under 9.5.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 9.5 RETURN c,Show me all vulnerabilities with an exploitability score below 9.5.
Node Lookup Queries,Find security flaws with an impact score less than 8.8.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 8.8 RETURN c,Show me all vulnerabilities with an impact score below 8.8.
Node Lookup Queries,What are the flaws with exploitability under 5.3?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 5.3 RETURN c,Show me all vulnerabilities with an exploitability score below 5.3.
Node Lookup Queries,Show me flaws with an impact rating higher than 2.8.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 2.8 RETURN c,Show me all vulnerabilities with an impact score above 2.8.
Node Lookup Queries,Which vulnerabilities are extremely hard to exploit (score below 1.1)?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 1.1 RETURN c,Show me all vulnerabilities with an exploitability score below 1.1.
Node Lookup Queries,Find flaws with a very low impact (under 1.4).,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 1.4 RETURN c,Show me all vulnerabilities with an impact score below 1.4.
Node Lookup Queries,List vulnerabilities with a high impact score (over 8.2).,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 8.2 RETURN c,Show me all vulnerabilities with an impact score above 8.2.
Node Lookup Queries,Which vulnerabilities have an exploitability score over 3.4?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > 3.4 RETURN c,Show me all vulnerabilities with an exploitability score above 3.4.
Node Lookup Queries,Are there any vulnerabilities with an impact score under 5.4?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 5.4 RETURN c,Show me all vulnerabilities with an impact score below 5.4.
Node Lookup Queries,Can you list vulnerabilities with an 'easy to exploit' score lower than 6.4?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 6.4 RETURN c,Show me all vulnerabilities with an exploitability score below 6.4.
Node Lookup Queries,I need to find flaws with a damage score of less than 6.2.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 6.2 RETURN c,Show me all vulnerabilities with an impact score below 6.2.
Node Lookup Queries,What are the vulnerabilities with an exploitability score over 2.4?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > 2.4 RETURN c,Show me all vulnerabilities with an exploitability score above 2.4.
Node Lookup Queries,List all security flaws that have an exploit score higher than 1.4.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > 1.4 RETURN c,Show me all vulnerabilities with an exploitability score above 1.4.
Node Lookup Queries,Are there any vulnerabilities with an exploitability rating under 8.2?,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 8.2 RETURN c,Show me all vulnerabilities with an exploitability score below 8.2.
Node Lookup Queries,"Find flaws that are relatively easy to exploit, with a score under 4.8.",MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) < 4.8 RETURN c,Show me all vulnerabilities with an exploitability score below 4.8.
Node Lookup Queries,"What are the most damaging vulnerabilities, with scores over 9.4?",MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 9.4 RETURN c,Show me all vulnerabilities with an impact score above 9.4.
Node Lookup Queries,Show me a list of flaws with a damage score under 9.3.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) < 9.3 RETURN c,Show me all vulnerabilities with an impact score below 9.3.
Node Lookup Queries,I'm looking for vulnerabilities with an impact rating higher than 6.4.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 6.4 RETURN c,Show me all vulnerabilities with an impact score above 6.4.
Node Lookup Queries,Are there any 'LOW' risk flaws that still need a user to do something?,"MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucouserInteractionRequired: 'true'}) RETURN c",Show me all 'LOW' severity vulnerabilities that require user interaction.
Node Lookup Queries,Which 'Analyzed' flaws allow an attacker to get 'god mode' (all privileges)?,"MATCH (c:UcoCVE {ucovulnStatus: 'Analyzed', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all 'Analyzed' vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,Find all 'HIGH' risk vulnerabilities that need a user to click something.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'true'}) RETURN c",Show me all 'HIGH' severity vulnerabilities that require user interaction.
Node Lookup Queries,Which 'Received' flaws *don't* allow an attacker to take over the system?,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all 'Received' vulnerabilities that *do not* let an attacker get full privileges.
Node Lookup Queries,Show me 'Modified' flaws that can lead to a full system compromise.,"MATCH (c:UcoCVE {ucovulnStatus: 'Modified', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all 'Modified' vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,What 'MEDIUM' risk vulnerabilities require a user to interact with them?,"MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucouserInteractionRequired: 'true'}) RETURN c",Show me all 'MEDIUM' severity vulnerabilities that require user interaction.
Node Lookup Queries,Are there any unanalyzed flaws that could give an attacker full control?,"MATCH (c:UcoCVE {ucovulnStatus: 'Awaiting Analysis', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all vulnerabilities 'Awaiting Analysis' that let an attacker get full privileges.
Node Lookup Queries,Which flaws currently being analyzed might allow total system access?,"MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all vulnerabilities 'Undergoing Analysis' that let an attacker get full privileges.
Node Lookup Queries,Find 'LOW' risk flaws that can be exploited automatically (no user needed).,"MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucouserInteractionRequired: 'false'}) RETURN c",Show me all 'LOW' severity vulnerabilities that *do not* require user interaction.
Node Lookup Queries,Are there any 'Rejected' issues that were said to allow full admin access?,"MATCH (c:UcoCVE {ucovulnStatus: 'Rejected', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all 'Rejected' vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,Show me postponed flaws that could let an attacker get full privileges.,"MATCH (c:UcoCVE {ucovulnStatus: 'Deferred', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all 'Deferred' vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,Which unanalyzed flaws are known *not* to grant full system access?,"MATCH (c:UcoCVE {ucovulnStatus: 'Awaiting Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all vulnerabilities 'Awaiting Analysis' that *do not* let an attacker get full privileges.
Node Lookup Queries,List newly 'Received' flaws that could grant an attacker full control.,"MATCH (c:UcoCVE {ucovulnStatus: 'Received', ucoobtainAllPrivilege: 'true'}) RETURN c",Find all 'Received' vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,Which flaws being analyzed are confirmed *not* to allow full system takeover?,"MATCH (c:UcoCVE {ucovulnStatus: 'Undergoing Analysis', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all vulnerabilities 'Undergoing Analysis' that *do not* let an attacker get full privileges.
Node Lookup Queries,What are the 'HIGH' risk flaws that can be exploited without a user doing anything?,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'false'}) RETURN c",Show me all 'HIGH' severity vulnerabilities that *do not* require user interaction.
Node Lookup Queries,List the 'Rejected' flaws that were confirmed *not* to grant full access.,"MATCH (c:UcoCVE {ucovulnStatus: 'Rejected', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all 'Rejected' vulnerabilities that *do not* let an attacker get full privileges.
Node Lookup Queries,Show me 'Modified' flaws that *cannot* lead to a full system compromise.,"MATCH (c:UcoCVE {ucovulnStatus: 'Modified', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all 'Modified' vulnerabilities that *do not* let an attacker get full privileges.
Node Lookup Queries,Which 'Analyzed' flaws *don't* let an attacker get 'god mode'?,"MATCH (c:UcoCVE {ucovulnStatus: 'Analyzed', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all 'Analyzed' vulnerabilities that *do not* let an attacker get full privileges.
Node Lookup Queries,Find 'MEDIUM' risk flaws that are automatic (no user click needed).,"MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucouserInteractionRequired: 'false'}) RETURN c",Show me all 'MEDIUM' severity vulnerabilities that *do not* require user interaction.
Node Lookup Queries,Which postponed flaws are known *not* to allow full system access?,"MATCH (c:UcoCVE {ucovulnStatus: 'Deferred', ucoobtainAllPrivilege: 'false'}) RETURN c",Find all 'Deferred' vulnerabilities that *do not* let an attacker get full privileges.
Node Lookup Queries,"List 'LOW' risk, 'Analyzed' flaws that need a user to click something.","MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucovulnStatus: 'Analyzed', ucouserInteractionRequired: 'true'}) RETURN c","Find all 'LOW' severity, 'Analyzed' vulnerabilities that require user interaction."
Node Lookup Queries,"Are there unanalyzed, 'HIGH' risk flaws that can be exploited automatically?","MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucovulnStatus: 'Awaiting Analysis', ucouserInteractionRequired: 'false'}) RETURN c",Find all 'HIGH' severity vulnerabilities 'Awaiting Analysis' that *do not* require user interaction.
Node Lookup Queries,"List 'MEDIUM' risk, 'Modified' flaws that need a user to do something.","MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucovulnStatus: 'Modified', ucouserInteractionRequired: 'true'}) RETURN c","Find all 'MEDIUM' severity, 'Modified' vulnerabilities that require user interaction."
Node Lookup Queries,"What are the newly 'Received', 'LOW' risk flaws that can be exploited automatically?","MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucovulnStatus: 'Received', ucouserInteractionRequired: 'false'}) RETURN c","Find all 'LOW' severity, 'Received' vulnerabilities that *do not* require user interaction."
Node Lookup Queries,List any 'Rejected' flaws that were 'HIGH' risk and needed user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH', ucovulnStatus: 'Rejected', ucouserInteractionRequired: 'true'}) RETURN c","Find all 'HIGH' severity, 'Rejected' vulnerabilities that require user interaction."
Node Lookup Queries,"Are there 'MEDIUM' risk, postponed flaws that are automatic (no user needed)?","MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucovulnStatus: 'Deferred', ucouserInteractionRequired: 'false'}) RETURN c","Find all 'MEDIUM' severity, 'Deferred' vulnerabilities that *do not* require user interaction."
Node Lookup Queries,Which 'LOW' risk flaws being analyzed need a user to click something?,"MATCH (c:UcoCVE {ucobaseSeverity: 'LOW', ucovulnStatus: 'Undergoing Analysis', ucouserInteractionRequired: 'true'}) RETURN c",Find all 'LOW' severity vulnerabilities 'Undergoing Analysis' that require user interaction.
Node Lookup Queries,"What security flaws were announced on January 15, 2020?",MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime STARTS WITH '2020-01-15' RETURN v,Find all vulnerabilities published on '2020-01-15'.
Node Lookup Queries,"What vulnerabilities have been updated since June 1, 2021?",MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime > '2021-06-01T00:00:00' RETURN v,Find all vulnerabilities last modified after '2021-06-01'.
Node Lookup Queries,Show me flaws related to 'remote code execution'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN v,Find all vulnerabilities that mention 'remote code execution' in their summary.
Node Lookup Queries,What are all the 'CRITICAL' security flaws?,MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL'}) RETURN v,Show me all vulnerabilities with a 'CRITICAL' severity rating.
Node Lookup Queries,Can I see a list of all 'HIGH' risk vulnerabilities?,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) RETURN v,Show me all vulnerabilities with a 'HIGH' severity rating.
Node Lookup Queries,Find all flaws that are considered 'MEDIUM' risk.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'MEDIUM'}) RETURN v,Show me all vulnerabilities with a 'MEDIUM' severity rating.
Node Lookup Queries,What are all the 'LOW' risk security flaws?,MATCH (v:UcoVulnerability {ucobaseSeverity: 'LOW'}) RETURN v,Show me all vulnerabilities with a 'LOW' severity rating.
Node Lookup Queries,Show me all security flaws that have been 'Analyzed'.,MATCH (v:UcoVulnerability {ucovulnStatus: 'Analyzed'}) RETURN v,Find all vulnerabilities with an 'Analyzed' status.
Node Lookup Queries,Which vulnerability reports were 'Rejected'?,MATCH (v:UcoVulnerability {ucovulnStatus: 'Rejected'}) RETURN v,Find all vulnerabilities with a 'Rejected' status.
Node Lookup Queries,List all flaws that need a user to do something (like click a link).,MATCH (v:UcoVulnerability {ucouserInteractionRequired: 'true'}) RETURN v,Find all vulnerabilities that require user interaction.
Node Lookup Queries,"Which flaws can be exploited automatically, without a user's help?",MATCH (v:UcoVulnerability {ucouserInteractionRequired: 'false'}) RETURN v,Find all vulnerabilities that *do not* require user interaction.
Node Lookup Queries,Show me all flaws that could let an attacker take over a system completely.,MATCH (v:UcoVulnerability {ucoobtainAllPrivilege: 'true'}) RETURN v,Find all vulnerabilities that let an attacker get full privileges.
Node Lookup Queries,List all flaws with a very high damage score (over 9.0).,MATCH (v:UcoVulnerability) WHERE toFloat(v.ucoimpactScore) > 9.0 RETURN v,Show me all vulnerabilities with an impact score above 9.0.
Node Lookup Queries,Which security flaws have an exploit score below 3.0?,MATCH (v:UcoVulnerability) WHERE toFloat(v.ucoexploitabilityScore) < 3.0 RETURN v,Show me all vulnerabilities that are easy to exploit (score less than 3.0).
Node Lookup Queries,Show me 'CRITICAL' flaws that need a user to click a link or open a file.,"MATCH (v:UcoVulnerability {ucobaseSeverity: 'CRITICAL', ucouserInteractionRequired: 'true'}) RETURN v",List all 'CRITICAL' vulnerabilities that require a user to do something.
Node Lookup Queries,Are there any 'HIGH' risk issues involving 'buffer overflow'?,MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH'}) WHERE v.ucosummary CONTAINS 'buffer overflow' RETURN v,Find all 'HIGH' severity vulnerabilities related to 'buffer overflow'.
Node Lookup Queries,Show me all security flaws announced earlier than 2019.,MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime < '2019-01-01T00:00:00' RETURN v,What vulnerabilities were published before 2019?
Node Lookup Queries,Which security advisories were updated at any point in 2022?,MATCH (v:UcoVulnerability) WHERE v.ucolastModifiedDateTime >= '2022-01-01T00:00:00' AND v.ucolastModifiedDateTime <= '2022-12-31T23:59:59' RETURN v,What vulnerabilities were modified during 2022?
Node Lookup Queries,Show me 'MEDIUM' risk flaws that mention 'denial of service'.,MATCH (v:UcoVulnerability {ucobaseSeverity: 'MEDIUM'}) WHERE v.ucosummary CONTAINS 'denial of service' RETURN v,List 'MEDIUM' severity vulnerabilities related to 'denial of service'.
Node Lookup Queries,Which flaws have a damage rating from 7.0 to 8.0?,MATCH (v:UcoVulnerability) WHERE toFloat(v.ucoimpactScore) >= 7.0 AND toFloat(v.ucoimpactScore) <= 8.0 RETURN v,Find vulnerabilities with an impact score between 7.0 and 8.0.
Node Lookup Queries,List security flaws with an exploit score in the 4.0 to 5.0 range.,MATCH (v:UcoVulnerability) WHERE toFloat(v.ucoexploitabilityScore) >= 4.0 AND toFloat(v.ucoexploitabilityScore) <= 5.0 RETURN v,Find vulnerabilities with an exploitability score between 4.0 and 5.0.
Node Lookup Queries,Show me 'Modified' flaws that can be exploited automatically.,"MATCH (v:UcoVulnerability {ucovulnStatus: 'Modified', ucouserInteractionRequired: 'false'}) RETURN v",List 'Modified' vulnerabilities that *do not* require user interaction.
Node Lookup Queries,What flaws from 2023 allow an attacker to get 'god mode'?,MATCH (v:UcoVulnerability {ucoobtainAllPrivilege: 'true'}) WHERE v.ucopublishedDateTime STARTS WITH '2023' RETURN v,Find vulnerabilities from 2023 that let an attacker get full privileges.
Node Lookup Queries,List all flaws that mention 'SQL injection'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'SQL injection' RETURN v,Show me vulnerabilities related to 'SQL injection'.
Node Lookup Queries,Which flaws are about 'authentication bypass'?,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'authentication bypass' RETURN v,Show me vulnerabilities related to 'authentication bypass'.
Node Lookup Queries,Can you find issues about 'cross-site scripting'?,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'cross-site scripting' RETURN v,Show me vulnerabilities related to 'cross-site scripting'.
Node Lookup Queries,I need to see flaws about 'privilege escalation'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'privilege escalation' RETURN v,Show me vulnerabilities related to 'privilege escalation'.
Node Lookup Queries,Find security issues categorized as 'information disclosure'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'information disclosure' RETURN v,Show me vulnerabilities related to 'information disclosure'.
Node Lookup Queries,What are the flaws for 'directory traversal'?,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'directory traversal' RETURN v,Show me vulnerabilities related to 'directory traversal'.
Node Lookup Queries,List all 'command injection' security holes.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'command injection' RETURN v,Show me vulnerabilities related to 'command injection'.
